Orthogroup	Wisteria	Phaseolus
OG0000057	TRINITY_DN556_c1_g1_i12.p1, SPADES.k25.NODE_18763_length_2685_cov_47.781579_g203_i22.p1, TRINITY_DN6406_c0_g1_i1.p1	TRINITY_DN30797_c1_g1_i2.p1
OG0000059	SPADES.k25.NODE_109688_length_526_cov_4.429142_g48785_i0.p1	SPADES.k35.NODE_48084_length_549_cov_9.352140_g26860_i0.p2
OG0000061	SOAP.k55.C509813.p1	SOAP.k65.C96046.p1
OG0000061	TransABySS.k55.J525232.p1	SPADES.k35.NODE_32764_length_1036_cov_32.744256_g16867_i0.p1
OG0000061	TransABySS.k55.R489289.p1	TRINITY_DN741_c0_g1_i18.p1
OG0000061	SPADES.k55.NODE_38652_length_1808_cov_65.785511_g9360_i1.p1	SOAP.k35.C268472.p1
OG0000061	TransABySS.k65.R398472.p1	TRINITY_DN16708_c0_g1_i32.p1
OG0000061	SPADES.k55.NODE_33824_length_1976_cov_67.380010_g13894_i0.p1	SOAP.k25.C591202.p1
OG0000061	SOAP.k45.scaffold35809.p1	SPADES.k35.NODE_12666_length_2001_cov_86.676501_g6689_i1.p1
OG0000061	SOAP.k65.C346863.p1	SOAP.k35.C273557.p1
OG0000061	TransABySS.k35.R787412.p1	TRINITY_DN2839_c0_g1_i2.p1
OG0000061	TransABySS.k45.R601844.p1, SPADES.k35.NODE_40032_length_1912_cov_84.683005_g11043_i1.p1	TRINITY_DN130_c0_g1_i5.p1
OG0000067	SPADES.k35.NODE_85018_length_829_cov_96.688917_g31292_i0.p1, SPADES.k45.NODE_2257_length_5183_cov_84.377384_g353_i5.p2	SPADES.k25.NODE_49664_length_607_cov_152.249141_g25805_i0.p1
OG0000067	SPADES.k25.NODE_80492_length_981_cov_125.082636_g29322_i0.p1	SPADES.k55.NODE_47323_length_428_cov_40.069705_g31691_i0.p1, TRINITY_DN7422_c1_g2_i10.p1
OG0000067	TransABySS.k45.J633949.p1	SPADES.k35.NODE_37924_length_857_cov_80.291971_g10987_i1.p1
OG0000067	TRINITY_DN9277_c1_g1_i4.p1, TRINITY_DN66226_c0_g1_i1.p1	SPADES.k35.NODE_71070_length_303_cov_110.947761_g49603_i0.p1
OG0000067	SPADES.k25.NODE_101607_length_639_cov_105.690554_g42252_i0.p1, SPADES.k25.NODE_126728_length_345_cov_67.671875_g65070_i0.p1	SPADES.k35.NODE_43637_length_675_cov_156.796875_g23198_i0.p1
OG0000067	SPADES.k25.NODE_139729_length_302_cov_181.000000_g78067_i0.p1, SPADES.k25.NODE_139867_length_301_cov_84.768116_g78205_i0.p1, SPADES.k45.NODE_104723_length_424_cov_4.427441_g50161_i0.p1, SPADES.k35.NODE_119686_length_317_cov_10.460993_g61388_i0.p1	SPADES.k35.NODE_61130_length_315_cov_30.017857_g39663_i0.p2
OG0000067	SPADES.k25.NODE_117657_length_433_cov_11.171569_g56114_i0.p1	SPADES.k25.NODE_54311_length_496_cov_154.352442_g29809_i0.p1
OG0000067	SPADES.k35.NODE_35411_length_2061_cov_135.540967_g9554_i1.p1, SPADES.k65.NODE_10642_length_3189_cov_49.783611_g3846_i1.p1	SPADES.k45.NODE_7338_length_2451_cov_124.369909_g4508_i1.p1
OG0000067	SOAP.k65.C354829.p1	SPADES.k45.NODE_20609_length_1475_cov_55.339860_g11714_i0.p1, SPADES.k55.NODE_20994_length_1372_cov_56.548216_g12538_i0.p1
OG0000067	SPADES.k35.NODE_94824_length_640_cov_7.388430_g37935_i0.p1	TransABySS.k55.R192209.p1, TransABySS.k55.R198501.p1, SPADES.k25.NODE_46808_length_683_cov_153.907295_g23672_i0.p1
OG0000067	TRINITY_DN9277_c0_g1_i16.p1	TransABySS.k35.S255864.p1
OG0000067	SPADES.k25.NODE_98131_length_692_cov_79.449775_g29763_i3.p1	TRINITY_DN25554_c1_g1_i1.p1
OG0000068	TransABySS.k25.S1236734.p1, SPADES.k65.NODE_9717_length_3280_cov_19.133126_g2081_i1.p2, Velvet.k65.NODE_577435_length_938_cov_28.866737.p1	SPADES.k55.NODE_27622_length_1067_cov_53.314229_g4417_i3.p1
OG0000069	SPADES.k25.NODE_100454_length_657_cov_8.886076_g3017_i10.p1, SPADES.k65.NODE_5733_length_3862_cov_18.608902_g2922_i0.p3	SPADES.k25.NODE_33652_length_1082_cov_89.852412_g3347_i6.p1
OG0000082	SPADES.k35.NODE_83965_length_851_cov_5.051471_g28642_i1.p1	SPADES.k35.NODE_35072_length_952_cov_75.052345_g18049_i0.p1, SPADES.k35.NODE_56989_length_377_cov_86.783626_g35524_i0.p1
OG0000085	SPADES.k35.NODE_2698_length_4962_cov_86.417495_g819_i5.p1	TransABySS.k35.R254073.p1
OG0000087	TRINITY_DN84362_c0_g1_i1.p1	SPADES.k25.NODE_39508_length_893_cov_32.529954_g19268_i0.p1, TransABySS.k45.S199427.p1, SPADES.k25.NODE_5126_length_2848_cov_61.471484_g2869_i0.p3, Velvet.k35.NODE_1123099_length_312_cov_7.830128.p1, Velvet.k35.NODE_44331_length_468_cov_13.935898.p1
OG0000090	TRINITY_DN12252_c0_g1_i6.p2	SPADES.k65.NODE_33895_length_714_cov_13.884438_g21347_i0.p1
OG0000097	SPADES.k25.NODE_60094_length_1369_cov_87.854911_g20786_i0.p3, SPADES.k65.NODE_99715_length_387_cov_3.906832_g55757_i0.p1	SPADES.k35.NODE_53195_length_441_cov_14.677340_g31756_i0.p1
OG0000097	TRINITY_DN12137_c1_g1_i3.p1	SPADES.k25.NODE_61372_length_372_cov_11.328530_g36660_i0.p1
OG0000097	SPADES.k45.NODE_43318_length_1757_cov_14.005841_g6939_i2.p2, Velvet.k25.NODE_2492307_length_876_cov_11.844748.p1, SPADES.k55.NODE_327_length_7528_cov_55.811990_g187_i0.p5, Velvet.k35.NODE_155281_length_643_cov_15.438569.p1	TRINITY_DN27553_c0_g1_i1.p1
OG0000098	SPADES.k35.NODE_118874_length_324_cov_13.072664_g60576_i0.p1	TransABySS.k35.R278469.p1
OG0000099	TransABySS.k55.S523878.p1, SPADES.k45.NODE_95967_length_545_cov_8.686000_g41723_i0.p1, Velvet.k45.NODE_266453_length_1874_cov_64.362328.p1, Velvet.k65.NODE_33056_length_2537_cov_55.430824.p2, TransABySS.k25.R1175459.p3, SOAP.k65.C342109.p1, SPADES.k25.NODE_7998_length_3574_cov_40.593688_g3334_i0.p4	SPADES.k25.NODE_33639_length_1083_cov_20.517013_g16412_i0.p1
OG0000099	SPADES.k25.NODE_113579_length_479_cov_11.508811_g52274_i0.p1, SPADES.k55.NODE_96316_length_461_cov_13.977833_g47271_i0.p1	TRINITY_DN44190_c0_g1_i1.p1, SPADES.k25.NODE_56026_length_463_cov_17.732877_g31429_i0.p1, TRINITY_DN19300_c0_g1_i1.p1, SPADES.k25.NODE_64486_length_326_cov_8.182724_g39772_i0.p1
OG0000103	SPADES.k25.NODE_5082_length_4049_cov_90.502237_g2193_i1.p2	SPADES.k25.NODE_56120_length_462_cov_5.302059_g31522_i0.p1, SPADES.k35.NODE_12488_length_2014_cov_15.813037_g7319_i0.p1, TransABySS.k25.S18212.p1, SPADES.k45.NODE_49812_length_445_cov_13.387500_g30970_i0.p1, TRINITY_DN68024_c0_g1_i1.p1
OG0000103	SPADES.k25.NODE_120875_length_400_cov_4.186667_g59254_i0.p1, SPADES.k45.NODE_45706_length_1686_cov_12.468617_g16849_i0.p1, SPADES.k25.NODE_23763_length_2436_cov_25.322688_g8879_i0.p1, SPADES.k55.NODE_104658_length_373_cov_2.150943_g55579_i0.p1, SPADES.k65.NODE_50471_length_1358_cov_44.626450_g8497_i4.p1, SPADES.k25.NODE_81174_length_970_cov_17.100529_g24226_i1.p1, SPADES.k45.NODE_28102_length_2289_cov_19.494652_g11263_i0.p3	Velvet.k25.NODE_2676850_length_428_cov_7.399533.p1, SPADES.k45.NODE_42231_length_623_cov_12.463668_g23855_i0.p1, TRINITY_DN54102_c0_g1_i1.p1, SPADES.k25.NODE_3704_length_3143_cov_61.600064_g2088_i0.p1, SPADES.k25.NODE_46148_length_702_cov_10.970458_g23198_i0.p1, SPADES.k35.NODE_12488_length_2014_cov_15.813037_g7319_i0.p4, TRINITY_DN22260_c0_g1_i1.p1, SPADES.k65.NODE_8305_length_2186_cov_15.112211_g5607_i0.p1, SPADES.k25.NODE_48744_length_632_cov_8.815486_g25099_i0.p1, SPADES.k25.NODE_49273_length_618_cov_8.303541_g25488_i0.p1, SPADES.k25.NODE_1862_length_3768_cov_33.574673_g1054_i0.p2
OG0000106	TRINITY_DN27651_c0_g1_i2.p3, Velvet.k25.NODE_2223033_length_327_cov_11.229358.p1, TRINITY_DN19837_c0_g1_i1.p1, TransABySS.k35.S821212.p1	SOAP.k25.C585426.p1, TRINITY_DN30840_c0_g1_i1.p1, SPADES.k35.NODE_46044_length_605_cov_13.401754_g20226_i3.p1
OG0000107	SPADES.k45.NODE_94677_length_568_cov_4.617591_g40585_i0.p1	SPADES.k45.NODE_1335_length_4044_cov_52.017504_g775_i0.p1
OG0000108	TRINITY_DN23415_c0_g1_i1.p1, SPADES.k35.NODE_43723_length_1801_cov_9.793884_g15643_i0.p3	SPADES.k25.NODE_48060_length_651_cov_11.722045_g24583_i0.p1
OG0000112	Velvet.k55.NODE_651676_length_329_cov_9.297873.p1	SPADES.k45.NODE_118_length_7238_cov_55.107744_g48_i0.p5, SOAP.k55.C129155.p2
OG0000115	SPADES.k25.NODE_43351_length_1771_cov_24.592211_g15182_i0.p1	TRINITY_DN330_c0_g1_i8.p1
OG0000116	TRINITY_DN9772_c0_g3_i1.p1	TransABySS.k65.S95409.p1, SPADES.k35.NODE_330_length_5416_cov_85.050177_g207_i0.p1
OG0000116	Velvet.k45.NODE_2155081_length_1027_cov_26.815969.p2, Velvet.k55.NODE_1540362_length_1484_cov_27.972372.p3, SPADES.k25.NODE_4623_length_4149_cov_38.197381_g2002_i0.p5, TRINITY_DN4271_c1_g1_i6.p3	SPADES.k35.NODE_2145_length_3556_cov_82.872479_g1336_i0.p1, SPADES.k25.NODE_21597_length_1558_cov_60.181996_g9527_i1.p1, SPADES.k35.NODE_53187_length_441_cov_23.869458_g31748_i0.p1
OG0000117	TransABySS.k45.J607267.p1	Velvet.k45.NODE_399115_length_439_cov_46.277905.p1
OG0000117	SPADES.k35.NODE_40305_length_1904_cov_52.159979_g12080_i1.p1	SOAP.k65.C94076.p1
OG0000121	TRINITY_DN17322_c0_g1_i23.p1, SPADES.k45.NODE_8340_length_3678_cov_81.201486_g1184_i5.p1	TransABySS.k55.S194869.p1
OG0000121	SPADES.k55.NODE_28594_length_2171_cov_15.847826_g12097_i0.p1, SOAP.k55.scaffold12217.p2, Velvet.k65.NODE_150577_length_286_cov_4.475524.p1	TRINITY_DN44794_c0_g1_i1.p1
OG0000121	TransABySS.k65.R392786.p1, SPADES.k55.NODE_7675_length_3667_cov_58.052602_g930_i5.p1, TransABySS.k45.R612881.p1, TransABySS.k65.R391781.p1, TransABySS.k55.R482679.p1, TRINITY_DN1932_c0_g1_i15.p1, SPADES.k65.NODE_1493_length_5476_cov_42.033081_g404_i1.p1, SPADES.k55.NODE_17790_length_2724_cov_53.097789_g4835_i4.p1	TRINITY_DN4716_c0_g1_i6.p1, TransABySS.k35.S279724.p1
OG0000121	TRINITY_DN3504_c3_g1_i1.p1, SPADES.k65.NODE_10422_length_3210_cov_17.339587_g4417_i1.p1	TransABySS.k35.R259145.p1, TRINITY_DN519_c0_g1_i22.p1
OG0000121	SPADES.k35.NODE_1472_length_5659_cov_60.570768_g717_i1.p4	SPADES.k45.NODE_46447_length_509_cov_12.306034_g27663_i0.p1
OG0000122	SOAP.k45.scaffold21099.p1, SPADES.k45.NODE_97061_length_526_cov_17.688150_g42725_i0.p1, TRINITY_DN22886_c0_g1_i4.p1, TRINITY_DN22886_c0_g1_i10.p1, SPADES.k25.NODE_18669_length_2690_cov_106.036023_g7193_i0.p1, SOAP.k45.C525508.p1, TransABySS.k45.J639387.p1	TransABySS.k45.S236648.p1
OG0000125	SOAP.k35.C721375.p1	TransABySS.k35.R254004.p1
OG0000125	TransABySS.k35.S791757.p1	TransABySS.k25.S346837.p1, Velvet.k65.NODE_1167_length_468_cov_48.747864.p2, Velvet.k45.NODE_222314_length_546_cov_68.401100.p2, SPADES.k55.NODE_38159_length_650_cov_65.268908_g22870_i0.p1, Velvet.k55.NODE_240722_length_639_cov_60.100155.p2
OG0000125	TransABySS.k25.R1159674.p1	TransABySS.k35.S269777.p1
OG0000125	TransABySS.k35.R781574.p1	TransABySS.k55.S62494.p1, TransABySS.k65.R181071.p1, SPADES.k25.NODE_43063_length_790_cov_134.900654_g21261_i0.p2, SPADES.k35.NODE_39972_length_790_cov_86.213245_g20733_i0.p2
OG0000125	SPADES.k25.NODE_94714_length_745_cov_111.668056_g37368_i0.p2	SPADES.k35.NODE_31509_length_1081_cov_80.243786_g16335_i0.p1
OG0000128	SPADES.k25.NODE_116512_length_446_cov_6.429929_g55012_i0.p1	SPADES.k25.NODE_4084_length_3046_cov_66.667660_g2318_i0.p2
OG0000130	TransABySS.k25.R1250763.p1	TransABySS.k25.R360937.p1, TransABySS.k25.S158372.p1, SPADES.k25.NODE_18103_length_1730_cov_53.428739_g9454_i0.p1, TRINITY_DN8276_c0_g1_i2.p1, Velvet.k65.NODE_87945_length_1273_cov_64.483894.p1, TransABySS.k25.R373498.p1, SPADES.k25.NODE_16643_length_1807_cov_31.307520_g8759_i0.p1, TransABySS.k55.S30334.p1, SPADES.k35.NODE_1583_length_3837_cov_64.002630_g985_i0.p2, Velvet.k55.NODE_383081_length_1989_cov_52.880844.p1, TRINITY_DN55014_c0_g1_i1.p1, SPADES.k35.NODE_52516_length_454_cov_24.718377_g31084_i0.p1, TransABySS.k45.S215924.p1, SPADES.k35.NODE_31524_length_1081_cov_18.041109_g16342_i0.p1, TRINITY_DN25889_c0_g1_i1.p1, TRINITY_DN4155_c0_g1_i1.p1, SPADES.k65.NODE_37525_length_588_cov_6.711281_g24609_i0.p1, SPADES.k25.NODE_64392_length_327_cov_42.337748_g39678_i0.p1, Velvet.k25.NODE_1104608_length_421_cov_53.460808.p1, SPADES.k25.NODE_55575_length_472_cov_11.134228_g30998_i0.p1, SPADES.k35.NODE_43459_length_681_cov_20.521672_g23065_i0.p1, SPADES.k25.NODE_53856_length_506_cov_10.122661_g29394_i0.p1, TRINITY_DN36018_c0_g2_i1.p1, TRINITY_DN33166_c2_g2_i3.p1, SPADES.k25.NODE_18376_length_1716_cov_60.661739_g9587_i0.p3, TRINITY_DN61221_c0_g1_i1.p1, SPADES.k25.NODE_40139_length_874_cov_70.756184_g19612_i0.p1
OG0000135	SPADES.k55.NODE_11599_length_3207_cov_85.256345_g5497_i0.p1, Velvet.k65.NODE_982488_length_360_cov_11.183333.p1, TransABySS.k35.S788433.p1	TRINITY_DN5271_c0_g3_i2.p1, SPADES.k65.NODE_52326_length_331_cov_1.703008_g39315_i0.p1
OG0000135	SPADES.k25.NODE_4715_length_4130_cov_210.093057_g135_i4.p1	TRINITY_DN29136_c0_g1_i1.p1
OG0000140	TRINITY_DN3390_c1_g1_i1.p1	SPADES.k65.NODE_34344_length_697_cov_21.291139_g21722_i0.p1
OG0000140	TransABySS.k65.J416744.p1, TransABySS.k35.R772727.p1, TransABySS.k45.R600662.p1, SPADES.k55.NODE_22201_length_2464_cov_42.580739_g1529_i8.p1	TRINITY_DN6626_c0_g1_i12.p1
OG0000144	SPADES.k35.NODE_5293_length_4216_cov_39.462330_g514_i2.p2	SPADES.k25.NODE_51208_length_566_cov_67.299445_g27058_i0.p1
OG0000144	SPADES.k35.NODE_12799_length_3238_cov_24.342491_g4304_i2.p1, SPADES.k65.NODE_66873_length_944_cov_8.172924_g27697_i0.p1	SPADES.k25.NODE_48124_length_649_cov_42.982372_g24631_i0.p1, TRINITY_DN21016_c0_g1_i1.p1
OG0000148	SPADES.k45.NODE_28102_length_2289_cov_19.494652_g11263_i0.p2	TRINITY_DN28855_c0_g1_i1.p1, SPADES.k25.NODE_63834_length_335_cov_36.822581_g39120_i0.p1, SPADES.k65.NODE_53790_length_314_cov_14.441767_g40779_i0.p1
