SOAP.k25.C1045664	SOAP.k25.C1045664^POLX_TOBAC
SOAP.k25.C1221282	SOAP.k25.C1221282^PYL11_ARATH^Polyketide_cyc2
SOAP.k25.C1221820	SOAP.k25.C1221820^DNAJ_SYNP2^DnaJ
SOAP.k25.C1222058	SOAP.k25.C1222058^POLX_TOBAC
SOAP.k25.C1222438	SOAP.k25.C1222438^UBN1_ARATH
SOAP.k25.C1226182	SOAP.k25.C1226182^Chromo
SOAP.k25.C1228050	SOAP.k25.C1228050^CCLOP_LOTJA
SOAP.k25.C1229170	SOAP.k25.C1229170^HMG14_ARATH^HMG_box_2
SOAP.k25.C1229252	SOAP.k25.C1229252^ODPA1_ARATH
SOAP.k25.C1229488	SOAP.k25.C1229488^RBP11_ARATH^RRM_1
SOAP.k25.C1229994	SOAP.k25.C1229994^FBX14_ARATH^GRH1_ARATH^Transp_inhibit
SOAP.k25.C1232976	SOAP.k25.C1232976^Y1705_ARATH^RRM_1
SOAP.k25.C1233158	SOAP.k25.C1233158^VRN3_BRADI^PBP
SOAP.k25.C1233368	SOAP.k25.C1233368^DVL5_ARATH
SOAP.k25.C1235052	SOAP.k25.C1235052^SR543_ARATH
SOAP.k25.C1235518	SOAP.k25.C1235518^ATS3
SOAP.k25.C1235908	SOAP.k25.C1235908^Y2910_ARATH^GGACT
SOAP.k25.C1236152	SOAP.k25.C1236152^KISH_DROME^DUF1242
SOAP.k25.C1236458	SOAP.k25.C1236458^ARFL_ORYSI
SOAP.k25.C1236794	SOAP.k25.C1236794^MPH1_ORYSJ^Myb_DNA-binding
SOAP.k25.C1237598	SOAP.k25.C1237598^Y2416_ARATH^Alba
SOAP.k25.C1237838	SOAP.k25.C1237838^CBSX3_ARATH^CBS
SOAP.k25.C1239836	SOAP.k25.C1239836^SAP5_ARATH^zf-AN1
SOAP.k25.C1240040	SOAP.k25.C1240040^POLR2_ARATH
SOAP.k25.C1241386	SOAP.k25.C1241386^UBTD1_DANRE^UBD
SOAP.k25.C1241508	SOAP.k25.C1241508^LRR_1
SOAP.k25.C1242826	SOAP.k25.C1242826^MNP1_NEUCR^Ribosomal_L12
SOAP.k25.C1243268	SOAP.k25.C1243268^FER1_PEA^Fer2
SOAP.k25.C1243374	SOAP.k25.C1243374^DUF1997
SOAP.k25.C1243432	SOAP.k25.C1243432^DUF538
SOAP.k25.C1244252	SOAP.k25.C1244252^MYB3_ARATH^Myb_DNA-binding
SOAP.k25.C1246004	SOAP.k25.C1246004^NC104_ARATH^NAM
SOAP.k25.C1246728	SOAP.k25.C1246728^RNF43_MOUSE^zf-RING_2
SOAP.k25.C1246946	SOAP.k25.C1246946^ERF1_TOBAC^AP2
SOAP.k25.C1247948	SOAP.k25.C1247948^Y5285_ARATH^TRAM_LAG1_CLN8
SOAP.k25.C1249042	SOAP.k25.C1249042^MPH1_ORYSJ^Myb_DNA-binding
SOAP.k25.C1250360	SOAP.k25.C1250360^MOB1A_ARATH^Mob1_phocein
SOAP.k25.C1250454	SOAP.k25.C1250454^TIM50_ARATH
SOAP.k25.C1251378	SOAP.k25.C1251378^BH168_ARATH^HLH
SOAP.k25.C1251532	SOAP.k25.C1251532^POLX_TOBAC
SOAP.k25.C1251792	SOAP.k25.C1251792^DUF751
SOAP.k25.C1251824	SOAP.k25.C1251824^CUL1_ARATH
SOAP.k25.C1252088	SOAP.k25.C1252088^TLPH_ORYSJ^Thaumatin
SOAP.k25.C1252730	SOAP.k25.C1252730^PUS7_ORYSJ
SOAP.k25.C1253708	SOAP.k25.C1253708^DUF3511
SOAP.k25.C1254180	SOAP.k25.C1254180^zf-B_box
SOAP.k25.C1255114	SOAP.k25.C1255114^CRJ35_CRYJA^Thaumatin
SOAP.k25.C1257272	SOAP.k25.C1257272^GL11_ARATH^Cupin_1
SOAP.k25.C1258688	SOAP.k25.C1258688^PADRE
SOAP.k25.C1258752	SOAP.k25.C1258752^XTH2_ARATH^Glyco_hydro_16
SOAP.k25.C1259170	SOAP.k25.C1259170^C71D8_SOYBN^p450
SOAP.k25.C1259560	SOAP.k25.C1259560^MMTA2_RAT^MMtag
SOAP.k25.C1260608	SOAP.k25.C1260608^P23A_BRANA^CS
SOAP.k25.C1260696	SOAP.k25.C1260696^CPP1-like
SOAP.k25.C1261438	SOAP.k25.C1261438^MAK3_ARATH^Acetyltransf_1
SOAP.k25.C1261670	SOAP.k25.C1261670^SGGP_ARATH^Hydrolase
SOAP.k25.C1261694	SOAP.k25.C1261694^Methyltransf_24
SOAP.k25.C1262000	SOAP.k25.C1262000^PDLP2_ARATH^Stress-antifung
SOAP.k25.C1262004	SOAP.k25.C1262004^RVT_3
SOAP.k25.C1262162	SOAP.k25.C1262162^GALM_HUMAN^Aldose_epim
SOAP.k25.C1262368	SOAP.k25.C1262368^PATL6_ARATH
SOAP.k25.C1262510	SOAP.k25.C1262510^Y5986_ARATH^Glutaredoxin
SOAP.k25.C1262690	SOAP.k25.C1262690^PPCK1_ARATH^Pkinase
SOAP.k25.C1263146	SOAP.k25.C1263146^NILP2_ARATH^CN_hydrolase
SOAP.k25.C1263382	SOAP.k25.C1263382^CCP31_ORYSJ^Cyclin
SOAP.k25.C1263408	SOAP.k25.C1263408^ERF03_ARATH^AP2
SOAP.k25.C1263596	SOAP.k25.C1263596^RK15_PEA^Ribosomal_L27A
SOAP.k25.C1263876	SOAP.k25.C1263876^NUD12_ARATH^NUDIX
SOAP.k25.C1264126	SOAP.k25.C1264126^DAPB3_ARATH^DapB_N
SOAP.k25.C1264230	SOAP.k25.C1264230^ZFP7_ARATH^zf-C2H2_6
SOAP.k25.C1265030	SOAP.k25.C1265030^ZIP1_ORYSJ^Zip
SOAP.k25.C1265418	SOAP.k25.C1265418^Mlf1IP
SOAP.k25.C1265676	SOAP.k25.C1265676^DJB13_MOUSE^DnaJ_C
SOAP.k25.C1265788	SOAP.k25.C1265788^IRT2_ORYSJ^Zip
SOAP.k25.C1265986	SOAP.k25.C1265986^FLS_CITUN^DIOX_N
SOAP.k25.C1266118	SOAP.k25.C1266118^MPO1_SCHPO^Mpo1-like
SOAP.k25.C1267108	SOAP.k25.C1267108^CHIC_ARATH^Glyco_hydro_18
SOAP.k25.C1267260	SOAP.k25.C1267260^TTC4_DICDI^TPR_19
SOAP.k25.C1267884	SOAP.k25.C1267884^E13B_PEA^Glyco_hydro_17
SOAP.k25.C1268526	SOAP.k25.C1268526^RWD
SOAP.k25.C1269160	SOAP.k25.C1269160^ATL3_ARATH^zf-RING_2
SOAP.k25.C1269244	SOAP.k25.C1269244^AKRC9_ARATH^Aldo_ket_red
SOAP.k25.C1269456	SOAP.k25.C1269456^P4H4_ARATH^2OG-FeII_Oxy
SOAP.k25.C1269576	SOAP.k25.C1269576^DUF716
SOAP.k25.C1269938	SOAP.k25.C1269938^TRL11_ARATH^Thioredoxin
SOAP.k25.C1270286	SOAP.k25.C1270286^TOC34_PEA^AIG1
SOAP.k25.C1271036	SOAP.k25.C1271036^COX11_ARATH^CtaG_Cox11
SOAP.k25.C1271150	SOAP.k25.C1271150^DUF1191
SOAP.k25.C1271250	SOAP.k25.C1271250^SQUV_ECOLI
SOAP.k25.C1271588	SOAP.k25.C1271588^AKR1_SOYBN^Aldo_ket_red
SOAP.k25.C1271752	SOAP.k25.C1271752^TMN3_ARATH^EMP70
SOAP.k25.C1272154	SOAP.k25.C1272154^BAG5_ARATH^IQ
SOAP.k25.C1272342	SOAP.k25.C1272342^M850_ARATH^RVP_2
SOAP.k25.C1272760	SOAP.k25.C1272760^RBL14_ARATH^Rhomboid
SOAP.k25.C1272858	SOAP.k25.C1272858^RT4I1_BOVIN^ADH_N
SOAP.k25.C1272906	SOAP.k25.C1272906^LRK10_WHEAT^PK_Tyr_Ser-Thr
SOAP.k25.C1273024	SOAP.k25.C1273024^G2OX6_ORYSJ^DIOX_N
SOAP.k25.C1273092	SOAP.k25.C1273092^PS10B_ARATH^Prot_ATP_ID_OB_C
SOAP.k25.C1273174	SOAP.k25.C1273174^ALPL_ARATH^Plant_tran
SOAP.k25.C1273292	SOAP.k25.C1273292^DCR_ARATH^Transferase
SOAP.k25.C1273366	SOAP.k25.C1273366^HHT1_ARATH^Transferase
SOAP.k25.C1273864	SOAP.k25.C1273864^FB295_ARATH^F-box-like
SOAP.k25.C1273894	SOAP.k25.C1273894^DAPAT_ARATH^Aminotran_1_2
SOAP.k25.C1274056	SOAP.k25.C1274056^POLR2_ARATH^M810_ARATH
SOAP.k25.C1274460	SOAP.k25.C1274460^C7150_PRUMU^p450
SOAP.k25.C1274514	SOAP.k25.C1274514^SETH3_ARATH^SIS
SOAP.k25.C1274540	SOAP.k25.C1274540^RLMI_TOLAT^PUA_3
SOAP.k25.C1274560	SOAP.k25.C1274560^MTNA_RICCO^IF-2B
SOAP.k25.C1274580	SOAP.k25.C1274580^DUF4283
SOAP.k25.C1274752	SOAP.k25.C1274752^Y4744_ARATH^LRR_1
SOAP.k25.C1275086	SOAP.k25.C1275086^DUF1639
SOAP.k25.C1275228	SOAP.k25.C1275228^PUB23_ARATH^U-box
SOAP.k25.C1275298	SOAP.k25.C1275298^DUF4336
SOAP.k25.C1275304	SOAP.k25.C1275304^DJB6_ORYSJ^DnaJ
SOAP.k25.C1275520	SOAP.k25.C1275520^CS52A_MEDTR^ANAPC4_WD40
SOAP.k25.C1275540	SOAP.k25.C1275540^IST1_HUMAN^Ist1
SOAP.k25.C1275564	SOAP.k25.C1275564^Y4929_FRASN^LCM
SOAP.k25.C1275756	SOAP.k25.C1275756^CLPR1_ARATH^CLP_protease
SOAP.k25.C1275914	SOAP.k25.C1275914^PP449_ARATH^PPR
SOAP.k25.C1275964	SOAP.k25.C1275964^GLOX_VITPS^Glyoxal_oxid_N
SOAP.k25.C1276392	SOAP.k25.C1276392^PP1_PHAVU^STPPase_N
SOAP.k25.C1276566	SOAP.k25.C1276566^PGLR5_ARATH^Glyco_hydro_28
SOAP.k25.C1276608	SOAP.k25.C1276608^ITPK4_ARATH^Ins134_P3_kin_N
SOAP.k25.C1276756	SOAP.k25.C1276756^PAO_ARATH^Rieske
SOAP.k25.C1276766	SOAP.k25.C1276766^TDBD
SOAP.k25.C1276822	SOAP.k25.C1276822^TSR4_YEAST^PDCD2_C
SOAP.k25.C1276890	SOAP.k25.C1276890^NCS1_ARATH^Transp_cyt_pur
SOAP.k25.C1277086	SOAP.k25.C1277086^DUF674
SOAP.k25.C1277216	SOAP.k25.C1277216^RH57_ARATH^ResIII
SOAP.k25.C1277274	SOAP.k25.C1277274^POLX_TOBAC
SOAP.k25.C1277318	SOAP.k25.C1277318^NBP35_ARATH^ParA
SOAP.k25.C1277466	SOAP.k25.C1277466^CH60C_ARATH^Cpn60_TCP1
SOAP.k25.C1277518	SOAP.k25.C1277518^PPR21_ARATH^PPR
SOAP.k25.C1277766	SOAP.k25.C1277766^LEUC_ARATH^Aconitase
SOAP.k25.C1277778	SOAP.k25.C1277778^TCPA_ARATH^Cpn60_TCP1
SOAP.k25.C1277794	SOAP.k25.C1277794^WRIP1_RAT^UBA
SOAP.k25.C1277848	SOAP.k25.C1277848^Agenet
SOAP.k25.C1277896	SOAP.k25.C1277896^RH17_ARATH^DEAD
SOAP.k25.C1278046	SOAP.k25.C1278046^DTX9_ARATH^MatE
SOAP.k25.C1278058	SOAP.k25.C1278058^UBP8_ARATH^UCH
SOAP.k25.C1278264	SOAP.k25.C1278264^DUF659
SOAP.k25.C1278270	SOAP.k25.C1278270^WRKY1_ARATH^WRKY
SOAP.k25.C1278354	SOAP.k25.C1278354^ICE1_ARATH^HLH
SOAP.k25.C1278464	SOAP.k25.C1278464^PPA15_ARATH^Pur_ac_phosph_N
SOAP.k25.C1278558	SOAP.k25.C1278558^PP231_ARATH^PPR_2
SOAP.k25.C1278600	SOAP.k25.C1278600^LAC3_ARATH^Cu-oxidase_3
SOAP.k25.C1278954	SOAP.k25.C1278954^GATA_DICNV^Amidase
SOAP.k25.C1279094	SOAP.k25.C1279094^ATPB_VITVI^ATPE_MORIN^ATP-synt_DE_N^ATP-synt_ab_N
SOAP.k25.C1279292	SOAP.k25.C1279292^POLR1_ARATH^RVT_2
SOAP.k25.C1279310	SOAP.k25.C1279310^Y1461_ARATH^Pkinase
SOAP.k25.C1279328	SOAP.k25.C1279328^FAAH_ORYSI^Amidase
SOAP.k25.C1279740	SOAP.k25.C1279740^Rhamnogal_lyase
SOAP.k25.C1279832	SOAP.k25.C1279832^PP353_ARATH^PPR
SOAP.k25.C1279902	SOAP.k25.C1279902^LEUC_ARATH^Aconitase
SOAP.k25.C1279954	SOAP.k25.C1279954^PP312_ARATH^PPR
SOAP.k25.C1280050	SOAP.k25.C1280050^PUB13_ARATH^U-box
SOAP.k25.C1280184	SOAP.k25.C1280184^POLX_TOBAC
SOAP.k25.C1280202	SOAP.k25.C1280202^PP236_ARATH^PPR
SOAP.k25.C1280210	SOAP.k25.C1280210^UP3_ARATH^Dabb
SOAP.k25.C1280244	SOAP.k25.C1280244^SCC12_ARATH^Rad21_Rec8_N
SOAP.k25.C1280366	SOAP.k25.C1280366^LOX21_SOLTU^PLAT
SOAP.k25.C1280456	SOAP.k25.C1280456^MCM7_ORYSI^MCM_N
SOAP.k25.C1280540	SOAP.k25.C1280540^PPR6_ARATH^PPR
SOAP.k25.C1280666	SOAP.k25.C1280666^ELP2_ARATH^WD40
SOAP.k25.C1280752	SOAP.k25.C1280752^Y4729_ARATH^B_lectin
SOAP.k25.C1280768	SOAP.k25.C1280768^PP430_ARATH^PPR
SOAP.k25.C1280862	SOAP.k25.C1280862^CSCLE_ARATH^RSN1_TM
SOAP.k25.C1280906	SOAP.k25.C1280906^PPA8_ARATH^2OG-FeII_Oxy_3^Metallophos
SOAP.k25.C1281016	SOAP.k25.C1281016^E70E2_ARATH^Exo70_N
SOAP.k25.C1281132	SOAP.k25.C1281132^PPR45_ARATH^PPR
SOAP.k25.C1281196	SOAP.k25.C1281196^HTH_ARATH^MPSR1_ARATH^GMC_oxred_N^zf-ANAPC11
SOAP.k25.C1281210	SOAP.k25.C1281210^ZMY15_MOUSE^zf-MYND
SOAP.k25.C1281356	SOAP.k25.C1281356^ISOA2_ARATH^CBM_48
SOAP.k25.C1281430	SOAP.k25.C1281430^SCY2A_ARATH^Pkinase
SOAP.k25.C1281506	SOAP.k25.C1281506^AB2A_ARATH^ABC2_membrane_3
SOAP.k25.C1281576	SOAP.k25.C1281576^ARAK_ARATH^Glyco_trans_1_3
SOAP.k25.C1281600	SOAP.k25.C1281600^RDR2_ARATH^RdRP
SOAP.k25.C1281816	SOAP.k25.C1281816^AB2C_ARATH^ABC_membrane
SOAP.k25.C1281934	SOAP.k25.C1281934^FB304_ARATH^F-box
SOAP.k25.C1281970	SOAP.k25.C1281970^POLR2_ARATH^POLR1_ARATH^RVT_2^Retrotran_gag_2^gag_pre-integrs
SOAP.k25.C1281988	SOAP.k25.C1281988^IYO_ARATH^RPAP1_N
SOAP.k25.C1282104	SOAP.k25.C1282104^PRP8A_ARATH^PRO8NT
SOAP.k25.C1282124	SOAP.k25.C1282124^UPL1_ARATH^DUF908
SOAP.k25.C395845	SOAP.k25.C395845^FBX11_HUMAN
SOAP.k25.C780637	SOAP.k25.C780637^LECS_VATGU
SOAP.k25.C807762	SOAP.k25.C807762^PAPA5_CARPA
SOAP.k25.C885487	SOAP.k25.C885487^ODBA2_ARATH
SOAP.k25.C927830	SOAP.k25.C927830^ADH1_PEA
SOAP.k25.C939536	SOAP.k25.C939536^CXE1_ACTER
SOAP.k25.scaffold10248	SOAP.k25.scaffold10248^TARB1_HUMAN
SOAP.k25.scaffold10422	SOAP.k25.scaffold10422^MAX2A_PETHY^CTR1_ARATH^F-box_5^PK_Tyr_Ser-Thr
SOAP.k25.scaffold10620	SOAP.k25.scaffold10620^SUI12_ARATH^SUI1
SOAP.k25.scaffold10632	SOAP.k25.scaffold10632^P2C09_ARATH^PP2C
SOAP.k25.scaffold10846	SOAP.k25.scaffold10846^C98A2_SOYBN^p450
SOAP.k25.scaffold10968	SOAP.k25.scaffold10968^CSPL4_RICCO^CSPLJ_ARATH^CASP_dom
SOAP.k25.scaffold11060	SOAP.k25.scaffold11060^ANM1_ORYSI
SOAP.k25.scaffold11228	SOAP.k25.scaffold11228^TGT1_ARATH^Myb_DNA-bind_4
SOAP.k25.scaffold11263	SOAP.k25.scaffold11263^RT10_PEA^Ribosomal_S10
SOAP.k25.scaffold11574	SOAP.k25.scaffold11574^1433B_SOYBN^14-3-3
SOAP.k25.scaffold1162	SOAP.k25.scaffold1162^TIM8_ARATH^zf-Tim10_DDP
SOAP.k25.scaffold11916	SOAP.k25.scaffold11916^BCAL1_ARATH
SOAP.k25.scaffold11980	SOAP.k25.scaffold11980^FAX2_ARATH^Tmemb_14
SOAP.k25.scaffold12085	SOAP.k25.scaffold12085^FB119_ARATH^F-box-like
SOAP.k25.scaffold12104	SOAP.k25.scaffold12104^CNOT1_XENTR^Not1^Remorin_C
SOAP.k25.scaffold12214	SOAP.k25.scaffold12214^ASK21_ARATH^Skp1_POZ
SOAP.k25.scaffold12488	SOAP.k25.scaffold12488^ACR4_ARATH
SOAP.k25.scaffold12549	SOAP.k25.scaffold12549^AP2_ARATH
SOAP.k25.scaffold12638	SOAP.k25.scaffold12638^FRS3_ARATH
SOAP.k25.scaffold12811	SOAP.k25.scaffold12811^OCT4_ARATH^Sugar_tr
SOAP.k25.scaffold12844	SOAP.k25.scaffold12844^POLX_TOBAC
SOAP.k25.scaffold12914	SOAP.k25.scaffold12914^NIC4_ARATH^Isochorismatase
SOAP.k25.scaffold13134	SOAP.k25.scaffold13134^MD19A_ARATH
SOAP.k25.scaffold13213	SOAP.k25.scaffold13213^AUG8_ARATH^QWRF
SOAP.k25.scaffold13296	SOAP.k25.scaffold13296^His_Phos_1
SOAP.k25.scaffold13319	SOAP.k25.scaffold13319^GATA8_ARATH^GATA
SOAP.k25.scaffold13515	SOAP.k25.scaffold13515^MUC70_ARATH
SOAP.k25.scaffold13517	SOAP.k25.scaffold13517^APCB1_ARATH
SOAP.k25.scaffold13524	SOAP.k25.scaffold13524^FBK22_ARATH^F-box
SOAP.k25.scaffold13749	SOAP.k25.scaffold13749^PP334_ARATH^PPR
SOAP.k25.scaffold13773	SOAP.k25.scaffold13773^AGL19_ARATH
SOAP.k25.scaffold13933	SOAP.k25.scaffold13933^AMI4G_ARATH
SOAP.k25.scaffold13938	SOAP.k25.scaffold13938^AFP3_ARATH^TDBD
SOAP.k25.scaffold14023	SOAP.k25.scaffold14023^R27A2_ARATH^Ribosomal_L27A
SOAP.k25.scaffold14112	SOAP.k25.scaffold14112^POLX_TOBAC
SOAP.k25.scaffold14266	SOAP.k25.scaffold14266^6DCS_SOYBN
SOAP.k25.scaffold14488	SOAP.k25.scaffold14488^ARF5_ARATH
SOAP.k25.scaffold14516	SOAP.k25.scaffold14516^HUA2_ARATH
SOAP.k25.scaffold14520	SOAP.k25.scaffold14520^HMA2_ARATH
SOAP.k25.scaffold1454	SOAP.k25.scaffold1454^PP380_ARATH^PPR
SOAP.k25.scaffold14573	SOAP.k25.scaffold14573^RNHX1_ARATH
SOAP.k25.scaffold1481	SOAP.k25.scaffold1481^DCUP_TOBAC^URO-D
SOAP.k25.scaffold14887	SOAP.k25.scaffold14887^ELMOA_DICDI^ELMO_CED12
SOAP.k25.scaffold14932	SOAP.k25.scaffold14932^Y3078_ARATH
SOAP.k25.scaffold14963	SOAP.k25.scaffold14963^DUF1645
SOAP.k25.scaffold15013	SOAP.k25.scaffold15013^RL24_CICAR
SOAP.k25.scaffold15408	SOAP.k25.scaffold15408^zf-CCHC
SOAP.k25.scaffold15473	SOAP.k25.scaffold15473^TI143_ARATH
SOAP.k25.scaffold15508	SOAP.k25.scaffold15508^LAX4_MEDTR^Aa_trans
SOAP.k25.scaffold15574	SOAP.k25.scaffold15574^GG1_ORYSI^G-gamma
SOAP.k25.scaffold15684	SOAP.k25.scaffold15684^APX1_PEA
SOAP.k25.scaffold15737	SOAP.k25.scaffold15737^VQ
SOAP.k25.scaffold15964	SOAP.k25.scaffold15964^PUB35_ARATH^PK_Tyr_Ser-Thr
SOAP.k25.scaffold16129	SOAP.k25.scaffold16129^MA653_ARATH^MAP65_ASE1
SOAP.k25.scaffold16191	SOAP.k25.scaffold16191^POLR1_ARATH^RVT_3
SOAP.k25.scaffold16192	SOAP.k25.scaffold16192^POLR1_ARATH
SOAP.k25.scaffold16445	SOAP.k25.scaffold16445^DUS3L_ARATH^zf-CCCH_2
SOAP.k25.scaffold16464	SOAP.k25.scaffold16464^POLR1_ARATH^POLR2_ARATH^RVT_2
SOAP.k25.scaffold16627	SOAP.k25.scaffold16627^C7317_PRUMU
SOAP.k25.scaffold16666	SOAP.k25.scaffold16666^XRCC1_ARATH^BRCT
SOAP.k25.scaffold16740	SOAP.k25.scaffold16740^PBF_MAIZE
SOAP.k25.scaffold16766	SOAP.k25.scaffold16766^POLR2_ARATH
SOAP.k25.scaffold16804	SOAP.k25.scaffold16804^NHL3_ARATH
SOAP.k25.scaffold16819	SOAP.k25.scaffold16819^KINB2_ARATH^AMPK1_CBM
SOAP.k25.scaffold16826	SOAP.k25.scaffold16826^SODC2_MESCR^Sod_Cu
SOAP.k25.scaffold1691	SOAP.k25.scaffold1691^C3H69_ARATH^zf-CCCH_2
SOAP.k25.scaffold16990	SOAP.k25.scaffold16990^KN14K_ORYSJ
SOAP.k25.scaffold1725	SOAP.k25.scaffold1725^GATP3_SOLLC^Aminotran_3
SOAP.k25.scaffold17407	SOAP.k25.scaffold17407^PZ02_LUPPO^AP2
SOAP.k25.scaffold17447	SOAP.k25.scaffold17447^YI31B_YEAST^M860_ARATH^RVT_1^Ty3_capsid
SOAP.k25.scaffold17466	SOAP.k25.scaffold17466^C3H18_ARATH^zf-CCCH
SOAP.k25.scaffold17580	SOAP.k25.scaffold17580^CHR20_ARATH
SOAP.k25.scaffold17683	SOAP.k25.scaffold17683^MCA1_ARATH
SOAP.k25.scaffold18026	SOAP.k25.scaffold18026^CML30_ARATH^SPARC_Ca_bdg
SOAP.k25.scaffold18092	SOAP.k25.scaffold18092^CDPK3_ARATH
SOAP.k25.scaffold18103	SOAP.k25.scaffold18103^P2C12_ARATH
SOAP.k25.scaffold18513	SOAP.k25.scaffold18513^PP418_ARATH^PPR_2
SOAP.k25.scaffold18540	SOAP.k25.scaffold18540^KN14I_ORYSJ
SOAP.k25.scaffold18581	SOAP.k25.scaffold18581^GAUTC_ARATH
SOAP.k25.scaffold18658	SOAP.k25.scaffold18658^POLX_TOBAC
SOAP.k25.scaffold19188	SOAP.k25.scaffold19188^WRK15_ARATH
SOAP.k25.scaffold19413	SOAP.k25.scaffold19413^QCR9_ARATH
SOAP.k25.scaffold19415	SOAP.k25.scaffold19415^HISX_ORYSJ
SOAP.k25.scaffold19640	SOAP.k25.scaffold19640^DBR_TOBAC^ADH_N_2
SOAP.k25.scaffold19670	SOAP.k25.scaffold19670^HSP7S_PEA
SOAP.k25.scaffold20200	SOAP.k25.scaffold20200^PLPD1_ARATH
SOAP.k25.scaffold20243	SOAP.k25.scaffold20243^CCR4A_ARATH
SOAP.k25.scaffold20261	SOAP.k25.scaffold20261^PDR2_ARATH
SOAP.k25.scaffold20393	SOAP.k25.scaffold20393^PR40A_ARATH
SOAP.k25.scaffold20605	SOAP.k25.scaffold20605^SMH4_MAIZE
SOAP.k25.scaffold20817	SOAP.k25.scaffold20817^MD26B_ARATH^Med26
