SOAP.k25.C390845	SOAP.k25.C390845^WRK27_ARATH
SOAP.k25.C578744	SOAP.k25.C578744^OEP24_PEA
SOAP.k25.C578952	SOAP.k25.C578952^WRK27_ARATH^WRKY
SOAP.k25.C579014	SOAP.k25.C579014^TI232_ARATH^Tim17
SOAP.k25.C579030	SOAP.k25.C579030^TAP2_SOYBN^Acetyltransf_1
SOAP.k25.C579146	SOAP.k25.C579146^NDK2_PEA^NDK
SOAP.k25.C579540	SOAP.k25.C579540^zf-met
SOAP.k25.C579830	SOAP.k25.C579830^SAYSvFN
SOAP.k25.C579868	SOAP.k25.C579868^DUF1645
SOAP.k25.C579966	SOAP.k25.C579966^TTM3_ARATH^CYTH
SOAP.k25.C580042	SOAP.k25.C580042^FB270_ARATH^F-box-like
SOAP.k25.C580318	SOAP.k25.C580318^TCD_SCHPO^ThiF
SOAP.k25.C580510	SOAP.k25.C580510^TET10_ARATH^Tetraspanin
SOAP.k25.C580592	SOAP.k25.C580592^MENE_ARATH^AMP-binding
SOAP.k25.C580634	SOAP.k25.C580634^AIPP1_ARATH
SOAP.k25.C580670	SOAP.k25.C580670^Remorin_C
SOAP.k25.C580954	SOAP.k25.C580954^Arm
SOAP.k25.C581140	SOAP.k25.C581140^CAND2_ARATH^Tmemb_40
SOAP.k25.C581766	SOAP.k25.C581766^DNAJ_CARHZ^DnaJ
SOAP.k25.C581888	SOAP.k25.C581888^KN14R_ARATH
SOAP.k25.C581946	SOAP.k25.C581946^MPP6
SOAP.k25.C582222	SOAP.k25.C582222^Y1222_ARATH^Epimerase
SOAP.k25.C582478	SOAP.k25.C582478^BPC2_ARATH^GAGA_bind
SOAP.k25.C582480	SOAP.k25.C582480^PX11C_ARATH^PEX11
SOAP.k25.C582624	SOAP.k25.C582624^REG2_DROME^Hydrolase
SOAP.k25.C583010	SOAP.k25.C583010^TIP21_ARATH^MIP
SOAP.k25.C583076	SOAP.k25.C583076^FLXL4_ARATH
SOAP.k25.C583468	SOAP.k25.C583468^VP371_ARATH^Mod_r
SOAP.k25.C583478	SOAP.k25.C583478^Malectin_like
SOAP.k25.C583512	SOAP.k25.C583512^SG1_ARATH^ANAPC5
SOAP.k25.C583584	SOAP.k25.C583584^HIDH_SOYBN^BD-FAE
SOAP.k25.C584638	SOAP.k25.C584638^UUAT1_ARATH^TPT
SOAP.k25.C584656	SOAP.k25.C584656^DUF868
SOAP.k25.C584660	SOAP.k25.C584660^DUF1685
SOAP.k25.C584822	SOAP.k25.C584822^DUF1645
SOAP.k25.C585096	SOAP.k25.C585096^IDI1_CAMAC^NUDIX
SOAP.k25.C585426	SOAP.k25.C585426^Integrase_H2C2^Retrotrans_gag
SOAP.k25.C585692	SOAP.k25.C585692^LOH2_ARATH^TRAM_LAG1_CLN8
SOAP.k25.C585790	SOAP.k25.C585790^RNA_pol_Rpc4
SOAP.k25.C586104	SOAP.k25.C586104^TOC34_PEA^AIG1
SOAP.k25.C586194	SOAP.k25.C586194^PGM48_ARATH^Peptidase_M48
SOAP.k25.C586366	SOAP.k25.C586366^GALDH_ARATH^Aldo_ket_red
SOAP.k25.C586560	SOAP.k25.C586560^DDE_Tnp_4
SOAP.k25.C586620	SOAP.k25.C586620^BAM3_ARATH^Glyco_hydro_14
SOAP.k25.C586674	SOAP.k25.C586674^TRIP4_MOUSE^ASCH
SOAP.k25.C586732	SOAP.k25.C586732^Methyltransf_21
SOAP.k25.C586806	SOAP.k25.C586806^CLPF_ARATH^UVR
SOAP.k25.C586890	SOAP.k25.C586890^mTERF
SOAP.k25.C587240	SOAP.k25.C587240^MFRN_DICDI^Mito_carr
SOAP.k25.C587624	SOAP.k25.C587624^MTRF1_ARATH^PCRF
SOAP.k25.C587636	SOAP.k25.C587636^PP408_ARATH^PPR_3
SOAP.k25.C587690	SOAP.k25.C587690^zf-CCHC_3
SOAP.k25.C587804	SOAP.k25.C587804^LRR_8
SOAP.k25.C588038	SOAP.k25.C588038^Lactamase_B_3
SOAP.k25.C588210	SOAP.k25.C588210^PUMP5_ARATH^Mito_carr
SOAP.k25.C588526	SOAP.k25.C588526^DAPAT_ORYSJ^Aminotran_1_2
SOAP.k25.C588528	SOAP.k25.C588528^BAC2_ARATH^Mito_carr
SOAP.k25.C588634	SOAP.k25.C588634^CXE17_ARATH^BD-FAE
SOAP.k25.C588650	SOAP.k25.C588650^CER16_ARATH
SOAP.k25.C588762	SOAP.k25.C588762^NAGK_BOVIN^BcrAD_BadFG
SOAP.k25.C589248	SOAP.k25.C589248^U83A1_ARATH^UDPGT
SOAP.k25.C589256	SOAP.k25.C589256^ASPG2_ARATH^Asp
SOAP.k25.C589286	SOAP.k25.C589286^DPYD_ARATH^DHO_dh
SOAP.k25.C589300	SOAP.k25.C589300^SKIP6_ARATH^F-box
SOAP.k25.C589318	SOAP.k25.C589318^2KGR_VITVI^2-Hacid_dh
SOAP.k25.C589486	SOAP.k25.C589486^THLP1_ARATH^Thaumatin
SOAP.k25.C589786	SOAP.k25.C589786^CLPR1_ARATH^CLP_protease
SOAP.k25.C589818	SOAP.k25.C589818^STP14_ARATH^Sugar_tr
SOAP.k25.C589844	SOAP.k25.C589844^FBK17_ARATH^F-box
SOAP.k25.C589894	SOAP.k25.C589894^SHR_ARATH^GRAS
SOAP.k25.C590256	SOAP.k25.C590256^WDR53_DICDI^WD40
SOAP.k25.C590338	SOAP.k25.C590338^GAT11_ARATH^GATA
SOAP.k25.C590366	SOAP.k25.C590366^LYK5_ARATH^PK_Tyr_Ser-Thr
SOAP.k25.C590394	SOAP.k25.C590394^CCD21_ARATH^Cyclin_N
SOAP.k25.C590568	SOAP.k25.C590568^OPS_ARATH^DUF740
SOAP.k25.C590588	SOAP.k25.C590588^zf-RVT
SOAP.k25.C590606	SOAP.k25.C590606^STPKL_ARATH^Pkinase
SOAP.k25.C590668	SOAP.k25.C590668^BGL40_ARATH^Glyco_hydro_1
SOAP.k25.C590740	SOAP.k25.C590740^PP142_ARATH^PPR
SOAP.k25.C590784	SOAP.k25.C590784^MNM1_ARATH^AT_hook
SOAP.k25.C590794	SOAP.k25.C590794^CER7_ARATH^RNase_PH
SOAP.k25.C590862	SOAP.k25.C590862^ANTR5_ARATH^MFS_1
SOAP.k25.C591006	SOAP.k25.C591006^PMT12_ARATH^Methyltransf_29
SOAP.k25.C591076	SOAP.k25.C591076^RUVB2_XENLA^TIP49
SOAP.k25.C591078	SOAP.k25.C591078^APS1_ARATH^PUA_2
SOAP.k25.C591184	SOAP.k25.C591184^IRKI_ARATH^DUF641
SOAP.k25.C591202	SOAP.k25.C591202^PBL17_ARATH^Pkinase
SOAP.k25.C591248	SOAP.k25.C591248^VPS36_ARATH^Vps36_ESCRT-II
SOAP.k25.C591472	SOAP.k25.C591472^NFD4_ARATH^Nodulin-like
SOAP.k25.C591678	SOAP.k25.C591678^GT29A_ARATH^Glyco_transf_29
SOAP.k25.C591956	SOAP.k25.C591956^C7A12_PANGI^p450
SOAP.k25.C591964	SOAP.k25.C591964^PPR7_ARATH^PPR
SOAP.k25.C592242	SOAP.k25.C592242^FBK8_ARATH^F-box
SOAP.k25.C592274	SOAP.k25.C592274^JAR6_NICAT^GH3
SOAP.k25.C592282	SOAP.k25.C592282^Y5600_ARATH
SOAP.k25.C592380	SOAP.k25.C592380^E1313_ARATH^Glyco_hydro_17
SOAP.k25.C592574	SOAP.k25.C592574^Remorin_C
SOAP.k25.C592692	SOAP.k25.C592692^ACBP4_ARATH^Kelch_1
SOAP.k25.C592714	SOAP.k25.C592714^SCL15_ARATH^GRAS
SOAP.k25.C592732	SOAP.k25.C592732^ATH1_ARATH^POX
SOAP.k25.C592748	SOAP.k25.C592748^DRB2_ORYSJ^dsrm
SOAP.k25.C592780	SOAP.k25.C592780^SYT5_ARATH^SMP_LBD
SOAP.k25.C592940	SOAP.k25.C592940^FUT11_ARATH^Glyco_transf_10
SOAP.k25.C592956	SOAP.k25.C592956^GLPT5_ARATH^MFS_1
SOAP.k25.C593078	SOAP.k25.C593078^KCS4_ARATH^FAE1_CUT1_RppA
SOAP.k25.C593300	SOAP.k25.C593300^PP393_ARATH^PPR
SOAP.k25.C593586	SOAP.k25.C593586^WD40
SOAP.k25.C593622	SOAP.k25.C593622^TBL18_ARATH^PMR5N
SOAP.k25.C593646	SOAP.k25.C593646^MIC60_ARATH^Mitofilin
SOAP.k25.C593672	SOAP.k25.C593672^DBD_Tnp_Mut
SOAP.k25.C593874	SOAP.k25.C593874^CB60A_ARATH^Calmodulin_bind
SOAP.k25.C593930	SOAP.k25.C593930^MTB1_SOLLC^bHLH-MYC_N
SOAP.k25.C593948	SOAP.k25.C593948^B3GTG_ARATH^Gal-bind_lectin
SOAP.k25.C593958	SOAP.k25.C593958^LRK91_ARATH^Lectin_legB
SOAP.k25.C593976	SOAP.k25.C593976^FIMB2_ARATH^CH
SOAP.k25.C594122	SOAP.k25.C594122^GLDH_ARATH^FAD_binding_4
SOAP.k25.C594222	SOAP.k25.C594222^CAD1_ARATH^MACPF
SOAP.k25.C594490	SOAP.k25.C594490^LRR_1
SOAP.k25.C594520	SOAP.k25.C594520^ETR1_MALDO^GAF
SOAP.k25.C594572	SOAP.k25.C594572^AN13B_MOUSE^Ank_2
SOAP.k25.C594694	SOAP.k25.C594694^NUP85_ARATH^Nucleopor_Nup85
SOAP.k25.C594792	SOAP.k25.C594792^FTSH_TOBAC^AAA
SOAP.k25.C594832	SOAP.k25.C594832^CP26B_ARATH^zf-C3HC
SOAP.k25.C594880	SOAP.k25.C594880^EX84B_ARATH^VPS51_Exo84_N
SOAP.k25.C594958	SOAP.k25.C594958^Myb_DNA-bind_3
SOAP.k25.C594986	SOAP.k25.C594986^PD40
SOAP.k25.C595014	SOAP.k25.C595014^GINT1_ARATH^Glyco_transf_64
SOAP.k25.C595194	SOAP.k25.C595194^BAH
SOAP.k25.C595484	SOAP.k25.C595484^Exo70_N
SOAP.k25.C595512	SOAP.k25.C595512^DRP2A_ARATH^Dynamin_N
SOAP.k25.C595572	SOAP.k25.C595572^IMB1_ARATH^IBN_N
SOAP.k25.C595598	SOAP.k25.C595598^REF6_ARATH
SOAP.k25.C595702	SOAP.k25.C595702^XPO4_XENLA
SOAP.k25.C595712	SOAP.k25.C595712^TMK1_ARATH^LRRNT_2
SOAP.k25.C595786	SOAP.k25.C595786^TR120_ARATH^TRAPPC9-Trs120
SOAP.k25.C595886	SOAP.k25.C595886^RNHX1_ARATH^RVT_1
SOAP.k25.C596004	SOAP.k25.C596004^ATG26_NEUCR^Vmethyltransf
SOAP.k25.scaffold10009	SOAP.k25.scaffold10009^Y4291_ARATH^Malectin_like
SOAP.k25.scaffold10102	SOAP.k25.scaffold10102^NTP_transf_2
SOAP.k25.scaffold10139	SOAP.k25.scaffold10139^GUN4C_ARATH^GUN4
SOAP.k25.scaffold10253	SOAP.k25.scaffold10253^OSGEP_NEMVE^TsaD
SOAP.k25.scaffold10389	SOAP.k25.scaffold10389^RS16_LUPPO^RS16_GOSHI^Ribosomal_S9
SOAP.k25.scaffold10705	SOAP.k25.scaffold10705^ATX3_ARATH^PHD
SOAP.k25.scaffold10866	SOAP.k25.scaffold10866^GSDA_ARATH^STKLU_ARATH^DUF573^dCMP_cyt_deam_1
SOAP.k25.scaffold10899	SOAP.k25.scaffold10899^PCNB_SALTI
SOAP.k25.scaffold10990	SOAP.k25.scaffold10990^RGLG2_ARATH^Copine
SOAP.k25.scaffold1142	SOAP.k25.scaffold1142^MK16A_XENLA^Ribosomal_L28e
SOAP.k25.scaffold11443	SOAP.k25.scaffold11443^HSFA8_ARATH^HSF_DNA-bind
SOAP.k25.scaffold11497	SOAP.k25.scaffold11497^DTD_DICDI^Tyr_Deacylase
SOAP.k25.scaffold11510	SOAP.k25.scaffold11510^MTEF4_ARATH^mTERF
SOAP.k25.scaffold11583	SOAP.k25.scaffold11583^PHYLO_ARATH^MR_MLE_C
SOAP.k25.scaffold11727	SOAP.k25.scaffold11727^GCA1_ARATH^Hexapep_2
SOAP.k25.scaffold11736	SOAP.k25.scaffold11736^C3H14_ORYSJ^zf-CCCH_2
SOAP.k25.scaffold11739	SOAP.k25.scaffold11739^NOP53_ARATH^Nop53
SOAP.k25.scaffold11785	SOAP.k25.scaffold11785^FB254_ARATH^F-box
SOAP.k25.scaffold11821	SOAP.k25.scaffold11821^GDPD4_ARATH^GDPD
SOAP.k25.scaffold11830	SOAP.k25.scaffold11830^TC10A_ARATH^adh_short
SOAP.k25.scaffold11878	SOAP.k25.scaffold11878^ATPG_TOBAC^ATP-synt
SOAP.k25.scaffold11939	SOAP.k25.scaffold11939^CRLS1_SCHPO^Hydrolase_like
SOAP.k25.scaffold11970	SOAP.k25.scaffold11970^Y3IP1_ARATH
SOAP.k25.scaffold12042	SOAP.k25.scaffold12042^HA22I_ARATH^TB2_DP1_HVA22
SOAP.k25.scaffold12215	SOAP.k25.scaffold12215^LTP_2
SOAP.k25.scaffold12350	SOAP.k25.scaffold12350^HIND
SOAP.k25.scaffold12404	SOAP.k25.scaffold12404^YUID_BACSU^DUF212
SOAP.k25.scaffold12458	SOAP.k25.scaffold12458^FENR1_PEA
SOAP.k25.scaffold12543	SOAP.k25.scaffold12543^RS13_SOYBN^Ribosomal_S13_N
SOAP.k25.scaffold12613	SOAP.k25.scaffold12613^ICR3_ARATH
SOAP.k25.scaffold12639	SOAP.k25.scaffold12639^TET6_ARATH^Tetraspanin
SOAP.k25.scaffold12819	SOAP.k25.scaffold12819^TTM2_ARATH
SOAP.k25.scaffold13052	SOAP.k25.scaffold13052^RL38_ARATH
SOAP.k25.scaffold1306	SOAP.k25.scaffold1306^DJ1B_ARATH^DJ-1_PfpI
SOAP.k25.scaffold13093	SOAP.k25.scaffold13093^CHR20_ARATH
SOAP.k25.scaffold13181	SOAP.k25.scaffold13181^NTF2_ARATH^NTF2
SOAP.k25.scaffold13226	SOAP.k25.scaffold13226^PP348_ARATH
SOAP.k25.scaffold13310	SOAP.k25.scaffold13310^BH149_ARATH
SOAP.k25.scaffold13315	SOAP.k25.scaffold13315^PYL4_ARATH^Polyketide_cyc2
SOAP.k25.scaffold13321	SOAP.k25.scaffold13321^MCAC1_ARATH^MCAfunc
SOAP.k25.scaffold13333	SOAP.k25.scaffold13333^CDF3_ARATH^zf-Dof
SOAP.k25.scaffold13447	SOAP.k25.scaffold13447^PILS6_ARATH^Mem_trans
SOAP.k25.scaffold13555	SOAP.k25.scaffold13555^ERF1Z_ARATH^eRF1_1
SOAP.k25.scaffold13585	SOAP.k25.scaffold13585^ILR3_ARATH^HLH
SOAP.k25.scaffold13598	SOAP.k25.scaffold13598^PAO2_ARATH^FAD_binding_2
SOAP.k25.scaffold13765	SOAP.k25.scaffold13765^YKT61_ARATH^Longin
SOAP.k25.scaffold13864	SOAP.k25.scaffold13864^CSPLI_POPTR^CASP_dom
SOAP.k25.scaffold13873	SOAP.k25.scaffold13873^CKL3_ARATH^Pkinase
SOAP.k25.scaffold13943	SOAP.k25.scaffold13943^HSP11_DAUCA^HSP20
SOAP.k25.scaffold13951	SOAP.k25.scaffold13951^RHB1A_ARATH^zf-rbx1
SOAP.k25.scaffold14008	SOAP.k25.scaffold14008^LTI6A_ORYSJ
SOAP.k25.scaffold14029	SOAP.k25.scaffold14029^NLTP8_ARATH^LTP_2
SOAP.k25.scaffold14213	SOAP.k25.scaffold14213^RAP_ARATH^DUF1601
SOAP.k25.scaffold14290	SOAP.k25.scaffold14290^RADL1_ARATH^Myb_DNA-binding
SOAP.k25.scaffold14340	SOAP.k25.scaffold14340^RS33_ARATH^KH_2
SOAP.k25.scaffold14341	SOAP.k25.scaffold14341^LOL2_ARATH^zf-LSD1
SOAP.k25.scaffold14391	SOAP.k25.scaffold14391^EULS3_ARATH
SOAP.k25.scaffold14446	SOAP.k25.scaffold14446^CKS1_ORYSI^CKS
SOAP.k25.scaffold14499	SOAP.k25.scaffold14499^SBP3_ARATH^Cyt-b5
SOAP.k25.scaffold14502	SOAP.k25.scaffold14502^NPRT2_ARATH^NAPRTase_N
SOAP.k25.scaffold14548	SOAP.k25.scaffold14548^UBA2A_ARATH^RRM_7
SOAP.k25.scaffold14617	SOAP.k25.scaffold14617^AAT1_ARATH
SOAP.k25.scaffold1463	SOAP.k25.scaffold1463^RS14_CRIGR
SOAP.k25.scaffold14870	SOAP.k25.scaffold14870^CTLH
SOAP.k25.scaffold14932	SOAP.k25.scaffold14932^RA51B_ARATH^Rad51
SOAP.k25.scaffold14968	SOAP.k25.scaffold14968^BPM4_ARATH^MATH
SOAP.k25.scaffold14986	SOAP.k25.scaffold14986^THIC_ARATH^ThiC_Rad_SAM
SOAP.k25.scaffold15093	SOAP.k25.scaffold15093^NADKC_ARATH
SOAP.k25.scaffold15100	SOAP.k25.scaffold15100^RPE_ARATH
SOAP.k25.scaffold15179	SOAP.k25.scaffold15179^PT311_ARATH^TPT
SOAP.k25.scaffold15231	SOAP.k25.scaffold15231^NADH-u_ox-rdase
SOAP.k25.scaffold15310	SOAP.k25.scaffold15310^CYB5S_TOBAC^Cyt-b5
SOAP.k25.scaffold15311	SOAP.k25.scaffold15311^EIF3D_ARATH^eIF-3_zeta
SOAP.k25.scaffold15347	SOAP.k25.scaffold15347^TPC6B_DANRE^TRAPP
SOAP.k25.scaffold15476	SOAP.k25.scaffold15476^AHL17_ARATH^PCC
SOAP.k25.scaffold15541	SOAP.k25.scaffold15541^P2C33_ARATH^PP2C
SOAP.k25.scaffold15580	SOAP.k25.scaffold15580^PIF1_ARATH^HLH
SOAP.k25.scaffold15623	SOAP.k25.scaffold15623^TI442_ARATH^Apolipoprotein
SOAP.k25.scaffold15629	SOAP.k25.scaffold15629^DUF1191
SOAP.k25.scaffold16017	SOAP.k25.scaffold16017^YC49L_SYNY3^DUF2499
SOAP.k25.scaffold16050	SOAP.k25.scaffold16050^Y8359_ORYSI^CS
SOAP.k25.scaffold16105	SOAP.k25.scaffold16105^UBC10_ARATH
SOAP.k25.scaffold16252	SOAP.k25.scaffold16252^MEM11_ARATH^V-SNARE_C
SOAP.k25.scaffold16253	SOAP.k25.scaffold16253^DOF11_ARATH^zf-Dof
SOAP.k25.scaffold16254	SOAP.k25.scaffold16254^DUF659^Dimer_Tnp_hAT
SOAP.k25.scaffold16306	SOAP.k25.scaffold16306^zf-CCHC_4
SOAP.k25.scaffold16354	SOAP.k25.scaffold16354^UAF30_YEAST^DEK_C
SOAP.k25.scaffold16387	SOAP.k25.scaffold16387^DOF17_ARATH^zf-Dof
SOAP.k25.scaffold16406	SOAP.k25.scaffold16406^MENTAL
SOAP.k25.scaffold16422	SOAP.k25.scaffold16422^IQD32_ARATH^IQ
SOAP.k25.scaffold16496	SOAP.k25.scaffold16496^DI191_ORYSJ^zf-Di19
SOAP.k25.scaffold16718	SOAP.k25.scaffold16718^HIP39_ARATH
SOAP.k25.scaffold16744	SOAP.k25.scaffold16744^GTG2_ARATH^GPHR_N
SOAP.k25.scaffold16756	SOAP.k25.scaffold16756^NU6C_PHAVU^NU4LC_PHAVU^Oxidored_q2^Oxidored_q3
SOAP.k25.scaffold16797	SOAP.k25.scaffold16797^Myb_DNA-binding
SOAP.k25.scaffold16805	SOAP.k25.scaffold16805^PRP22_ARATH^DEAD
SOAP.k25.scaffold16807	SOAP.k25.scaffold16807^AI-2E_transport
SOAP.k25.scaffold16851	SOAP.k25.scaffold16851^CALSC_ARATH^FKS1_dom1^Glucan_synthase
SOAP.k25.scaffold16926	SOAP.k25.scaffold16926^MNS4_ARATH^Glyco_hydro_47
SOAP.k25.scaffold16966	SOAP.k25.scaffold16966^NU1C_PHAVU^NDHI_PHAVU^NADHdh
